,name,business_status,rating,price_level,types,vicinity,Latitude,Longitude
38,QDOBA Mexican Eats,OPERATIONAL,4.2,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1528 Walnut St, Philadelphia",39.9495796,-75.1672851
39,Sabrina's Cafe - Art Museum,OPERATIONAL,4.5,2.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","1804 Callowhill St, Philadelphia",39.9602763,-75.1687091
40,UnSoul Food,OPERATIONAL,4.9,,"['restaurant', 'food', 'point_of_interest', 'establishment']","1801 S 4th St, Philadelphia",39.92582609999999,-75.1525355
41,Ciro Food And Drink,OPERATIONAL,4.6,,"['restaurant', 'food', 'point_of_interest', 'establishment']","321 A Justison St, Wilmington",39.7367029,-75.5599939
42,Real Food Eatery,CLOSED_TEMPORARILY,4.3,,"['restaurant', 'food', 'point_of_interest', 'establishment']","1700 Market St, Philadelphia",39.9529091,-75.1690699
43,Freddy's Restaurant,OPERATIONAL,4.3,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","3200 Westfield Ave, Camden",39.9504511,-75.0779489
44,The Dandelion,OPERATIONAL,4.6,2.0,"['restaurant', 'meal_takeaway', 'bar', 'food', 'point_of_interest', 'establishment']","124 S 18th St, Philadelphia",39.95099889999999,-75.1706311
45,Jones,CLOSED_TEMPORARILY,4.4,2.0,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']","700 Chestnut St, Philadelphia",39.9492661,-75.15248849999999
46,Shake Shack,OPERATIONAL,4.2,2.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","105 S 12th St Unit 1-01, Philadelphia",39.95023200000001,-75.160071
47,Cancun,OPERATIONAL,4.5,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","110 Lincoln Hwy, Fairless Hills",40.1801464,-74.8678572
48,Tai's Vietnamese Food,OPERATIONAL,4.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1835 N 12th St, Philadelphia",39.9808625,-75.15330999999999
49,QDOBA Mexican Eats,OPERATIONAL,4.1,1.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","100 Welsh Rd Unit M, Horsham",40.1583703,-75.14242229999999
